Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,11855,10117,00:00:53,9925,88.30%,83.22%,$0.00
/?fbclid=IwAR2yVQQxIeg40MZ1baUA5f3-kxbgtwGtIZw09qeCg1jciY0X2pGg8M5z3WU,50,45,00:00:04,1,0.00%,2.00%,$0.00
/bandeannonce,36,8,00:02:14,5,100.00%,19.44%,$0.00
/https://chambre212-lefilm.fr/,28,18,00:00:12,0,0.00%,32.14%,$0.00
/?fbclid=IwAR0k8s43CxQnZetcseouuZC9pJRQKWaXm_KbrfMlFoReWAz1IWBKdUwc7mk,13,8,00:00:06,1,0.00%,7.69%,$0.00
/https://www.mk2.com/reservation-directe?seance_sku=8357_1_08-10-191568734262_83571569242162498_E,6,4,00:01:31,0,0.00%,50.00%,$0.00
/https://www.mk2.com/reservation-directe?seance_sku=8355_1_08-10-191568821742_83551569257402450_E,5,4,00:01:51,0,0.00%,80.00%,$0.00
/http://chambre212-lefilm.fr/,3,1,00:00:24,0,0.00%,0.00%,$0.00
/?fbclid=IwAR2ChfHhu33_KHLu2QYBenW3jpMbFgWlC9Ki_kbEnDnLdpavgk6Vm_4NwKY,2,2,00:00:00,2,100.00%,100.00%,$0.00
/?fbclid=IwAR3ez4auXInJjq_iRrXGaDppqsqFWKtZqlT2lAGuV42qxTPZPOEq5mnw9A8,2,2,00:01:07,1,0.00%,0.00%,$0.00
/?fbclid=IwAR3qjmz_NhopKSbdpj7ktRsRJ-lLapBNNHayz5s1uGHBouVz3-ObOK7QhNY,2,2,00:00:09,1,0.00%,50.00%,$0.00
/http://luxy.ivry94.fr/,2,1,00:00:04,0,0.00%,50.00%,$0.00
/http://www.theatreachatillon.com/films.php,2,1,00:00:39,0,0.00%,0.00%,$0.00
/https://s.cinemaspathegaumont.com/#/V3116S175/booking,2,1,00:00:01,0,0.00%,50.00%,$0.00
/https://s.cinemaspathegaumont.com/#/V3116S236/booking,2,1,00:00:00,0,0.00%,50.00%,$0.00
/https://tickets.allocine.fr/paris-cinq-caumartin/reserver/F261785/D1570909500/VF/270369,2,1,00:00:05,0,0.00%,0.00%,$0.00
/https://www.facebook.com/mementofilms.distrib/,2,2,00:03:06,0,0.00%,50.00%,$0.00
/https://www.ugc.fr/reservationSeances.html?id=330171428594,2,2,00:00:00,0,0.00%,100.00%,$0.00
/synopsis,2,2,00:01:01,1,100.00%,50.00%,$0.00
"/translate_c?depth=1&ie=UTF8&rurl=translate.google.com&sl=auto&sp=nmt4&tl=en&u=https://chambre212-lefilm.fr/?fbclid=IwAR22dZukqi31Q5Qg0PQQVBfyup3k4qf6FfE4lnU_9o_iXS-vseorddIumkQ&xid=17259,1500008,15700022,15700186,15700191,15700256,15700259,15700262,15700265,15700271&usg=ALkJrhh7SrRsf7LX-q6CXiyen2XYg3lDew",2,1,00:00:38,1,0.00%,50.00%,$0.00
"/translate_c?depth=1&ie=UTF8&rurl=translate.google.com&sl=auto&sp=nmt4&tl=en&u=https://chambre212-lefilm.fr/?fbclid=IwAR3xFTC-EMbIaiT16ZnSjyGhrW3PgLnkdEcEaeQNej-ajUo-FzUW-ta1ZaE&xid=17259,15700023,15700186,15700191,15700256,15700259,15700262,15700265,15700271&usg=ALkJrhjy9OKgkyLrLXaYJpvzXK7dKS3XAQ",2,1,00:00:39,1,0.00%,50.00%,$0.00
/?fbclid=IwAR05cTNUb1oN7TTNyh5uCxgbIeT8_znvTACAWdYQd_-4Iia5nuiT8RCDYd8,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR05Swd9fqyuoLxIo-aoeyrqJXZ1cra8BXPBNE_RPl4N5W0sgs84P_AMoIY,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR09Awfsp1KxDKje_sd-ioStUPJ-2kSVcmEKdkCAq20PLg6KMe0tOYONMPU,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR09FcV9enq9IXDcnOPXeOJPG48osUc13345JHXFYiQLhaJkL22Tj1ewaes,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0bdOgZbXdBGgJaIKAc3Qw1hBMsnYswhWCsPJhCl2sn1ULXRrF0PUj2jjQ,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0Bn5QzBLJoO8Vq8lMcxieBDPc-tOYxufh0lZOeL0r5U9C2nShv62L9ULo,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0DaFq1_mGnCkhGJIXk6YZeg5qoI8b90J_7_JUfL7OOmEOE-PBkzoWoa9g,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0dgN80enIQTSlcj9EjlYmwuFHK2uv6WkTcT55vFS5--PtqGW10h6c2EbE,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0Dj8QP2jfJBql61YjZuvGG5YqWNrA8uWeLHwMveusI-F0dx42uhijxu_8,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0fHHsPWEeX91hzCOpGoM9Mdqp5YBpcQuqkZfe1wCeOsWdDNnPLTJoiz4o,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0fIUoR8iQTwOjmBa62-cFzgp-0jjbGOgFIJLgxqRze1SU4h6e_IY_mXx0,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0FW4EMw9jIN35ZT12FyD3gaaV3HsFi13mgm_gU9tUOeNKyII7tSrc9kqA,1,1,00:03:26,1,0.00%,0.00%,$0.00
/?fbclid=IwAR0giVtLInvrLxVuY4YL97z2MS6mKc7SFOT1BGPp0APm-dTpQKhbNZjlP1k,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0guKshE6V_nbbU8itNz5ADDkliVdGaqGAnRK3b8pfKTAg7TBRdPOzflsE,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0HEOANY0IYjariPtmvBkNLwfv5PgpvwHtC4tXpTQWXq1A6Sas0PyPHMkY,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0I_3RraGW7LZKvGYl7aPcHDhN6DJ1W9Se8XOMXlay0SKLbcHuOVHr0klg,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0JfzxPL8ND62nEqQ_um6KRJceNecPBFSWqIW2WBFq4rM42z3tCw76hrqw,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0JvkPYL-Cfod5TifKE8kzj4vQ3gmoKPaEoHFwrlim17vKeG1AZqzxdUK8,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0Jw7aafUQlyNzjBZHky-VTlJWI-KAy9735dRjq8__mDPHyyR_q9VcACX0,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0K3Ggnge6AGwnxY034nLOdzpJ59Uqr8Z6Q2-WX94FiN2dbieMqQLyfXVM,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0kJtlB05h2AFpIW0BKOCseidrXdezxUMOwiU1KwLlx7BSejJ5-mc-OGR0,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0kzainlq5umgAXVEK0EBlDSREoml27JUz2vosUKZWh5REr_y-4yiQuRBY,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0MPkrkAhs0eRKQlNngSs6uyXdc3scpjB4hIjYeYusuqDjCUNTSaQ5UwIs,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0MUiAw2bQyfmC7GzPk3_HRlvakLLzWAQd-KOqMZ30vHNtk6KnXitnmH_0,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0N-mhB5x2mZ2XaKTfXL_YFD9cNcG9a_pzuxFjnes1HYXt5Unf0M0peOsM,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0nifOtdqqNb8cCHLphOS5xi4vd4MXl7PIN_4es0XwviWI6Rh063Ig5QfU,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0qToAZ4TVdg0WALZhiJbWhudE4dLOphwNTPmZRkq3sIAHB9iH02T7TjMA,1,1,00:00:00,1,100.00%,100.00%,$0.00
/?fbclid=IwAR0rpAsFT1xIgqt7fuyMOGv_xXHHe5dynCo4e0o-ia51ACddv6tlSdlC8LI,1,1,00:00:00,1,100.00%,100.00%,$0.00
